пореден номер,заглавие,автор,година,том/част,инвентарен номер
1,Кули,"Ананд,М.",1951,,2
2,Пролет на Одер,"Казакевич,Ем.",1950,,3
3,,"Смирнов,",1946,,5
4,,"Белев,",1949,,13
5,"Аз, ти, той",Елин-Пелин,1949,,14
6,.,,1949,,15
7,.,,1949,,16
8,Повест за истинския човек,"Полевой,Б.",1948,,20
9,Съчинения т.1.,"Друмев,В.",1950,т.1.,21
10,Стомана и сгурия,"Попов,",1950,,24
11,Бай Ганьо,"Константинов,Ал.",1946,,37
12,Лято,"Горки,М.",1949,,46
13,.,,1949,,47
14,Под игото,"Вазов,Ив.",1950,,50
15,.,,1950,,51
16,Повест за моето детство,Гладков,1950,,52
17,Зъб за зъб,"Василев,О.",1950,,57
18,Сърце,"Барух,А.",1945,,65
19,Китове в залива,Холопов,1949,,66
20,игото,"Вазов,Ив.Под",1949,,68
21,на полка,"Катаев,В.Синът",1949,,69
22,Избрани творби,Пришвин,1946,,70
23,Септеммври 1923,"Александров,В.",1950,,72
24,"Тревога, танкове","Чолпанов,Б.",1945,,79
25,Последният удигеец,"Фадеев,А.",1951,,80
26,Сред хората,"Горки,М.",1950,,82
27,.,,1950,,83
28,Млада гвардия,Фадеев,1948,,84
29,-Вл.Полянов Най-,Шекспир,1946,,93
30,Войвода,"Каравелов,Л.",1945,,94
31,Пушкин,"Мясникоив,А.",1948,,97
32,.,,1948,,98
33,Звезда,"Казакевич,Ем.",1948,,99
34,Повест за моето,"Гладков,Ф.",1950,,104
35,Устремената топола,Гуревич,1952,,106
36,Светлива в,"Леберхт,Х.",1950,,107
37,Втора рота,"Веживов,П.",1951,,109
38,Светлнад земята,"Бабаевски,С.",1951,,110
39,Избр. Съчинения т.1,"Смирненски,Хр.",1951,т.1,116
40,.,,1951,,117
41,Втора рота,"Вежинов,П.",1951,,118
42,Едноактни пиеси,"Барух,А.",1952,,130
43,Нови разкази,Даскалов,1947,,133
44,Срещи в тайгата,"Арсениев,В.",1950,,138
45,Земляци,"Йовков,Йордан",1946,,142
46,Летен ден,Елин-Пелин,1949,,145
47,Народен закрилник,"Каралийчев,Анг.",1950,,146
48,В наши дни,"Трудолябов,Д.",1946,,148
49,Животът на  максим Горки,Роскин,1946,,150
50,Събрани произведения,"Ясенов,Хр.",1947,,154
51,Проходът на младежта,"Караславов,Г.",,,155
52,Другари,Турек,,,158
53,хиляди очи  към времето,"Илин,М.С",,,159
54,Човекът срещу стихиите,Илин,,,160
55,Тайната на въздуха,"Лейбсън,Л.",1948,,163
56,Васил Левски,"Унджиев,И. И др.",1948,,172
57,Васил Левски,"Унджиев,И. И др.",1948,,173
58,Хумор и сатира,"Смирненски,Хр.",1945,,182
59,Танкер Дербент,Крилов,1945,,185
60,Ст.Попов,"Головин,Г.Александър",1946,,186
61,Максим Горки,Груздеев,,,191
62,Максим Горки,Груздеев,,,192
63,Записки по бълг. въстания,"Стоянов,З.",1949,,194
64,С. Пушкин,"Новиков,Александър",,,208
65,птица  пролетна,"Мстиславски,Грач",,,210
66,Борба за мир лит. сб.,,1949,,211
67,Антология 9 септемврий,Иван Мешеков,1945,,214
68,Лъжовен свят,"Каралийчев,А.",,,226
69,Майка,"Горки,М.",,,227
70,Вечери в Антимовски хан,Йовков,,,228
71,Под знамето на мира,"Струмски,Г.",1985,,230
72,На залесителния пояс,Ксения Лвова,1951,,235
73,Магдина чука,"Даскалов,С.Ц.",,,237
74,Идващи светлини,"Сребров,З.",,,238
75,Разкази за България,Гаршин,,,239
76,Разкази за България,Гаршин,,,241
77,Бунтовен народ,Станев,,,242
78,В.Левски,Кондерев,,,243
79,Димитрий Донски,,,,244
80,Иван Вазов Детство,"Генов,М.",,,255
81,Те загинаха за да живеем ние,"Стойков,А.",1948,,256
82,Стихотворения,"Ботев,Хр.",,,264
83,Стихотворения,"Ботев,Хр.",,,267
84,Израсло дърво  високо,Бончов,,,268
85,Димитровград Стихове и очерци,,,,271
86,Младост,"Исаев,М.",,,272
87,Епопея на забравените,Вазов,,,275
88,Хумор и сатира,"Смирненски,Хр.",,,276
89,На пост,,,,278
90,Кавалерът на златната звезда,Бабаевски,,,284
91,Светлина в коорди,"Леберихт,Х.",,,287
92,Стопани,"Северняк,С.",,,288
93,До Чикаго и назад,"Константинов,Ал.",,,289
94,До Чикаго и назад,"Константинов,Ал.",,,291
95,До Чикаго и назад,"Константинов,Ал.",,,292
96,Неописан  подвиг,"Маринов,И.",,,293
97,Към далечни брегове,муратов,,,298
98,Царска милост,"Зидаров,К.",,,312
99,Избр. Произведения,"Смирненски,Хр.",,,313
100,Избр. Съчинения,"Смирненски,Хр.",,,314
101,Израсло дърво  високо,Бончов,,,316
102,Как се каляваше стоманата,"Островски,Н.",,,321
103,Покорената река,Юрезански,,,323
104,Кружелиха,Панова,,,328
105,Вятър от юг,"Грин,Е.",,,341
106,Цимент,"Гладков,Ф.",,,347
107,Детство,Горки,,,348
108,Съдбоносна есен,"Барух,А.",,,354
109,Ленинград през,"Фадеев,А.",,,357
110,Родина,"Василевска,В.",,,358
111,Последният удигеец,"Фадеев,А.",,,361
112,мирът,"Белев,К.",,,366
113,Разораната целина,"Шолохов,М.",,,367
114,Моите университети,"Горки,М.",,,368
115,Стожари,Катери,,,369
116,Моят живот,Хрежон,,,372
117,Огньове в залива,"Холопов,Г.",,,373
118,Огньове в залива,"Холопов,Г.",,,374
119,Огньове в залива,"Холопов,Г.",,,375
120,Мили родни картинки,Елин-Пелин,,,385
121,Приключенията на Оливер,"Дикенс,Ч.",,,393
122,Цимент,Гладков,,,395
123,Цимент,Гладков,,,396
124,Волоколамското шосе,"Бек,Ал.",,,397
125,Снежният връх,"Копшелов,А.",,,398
126,Двамата капитани,"Каверин,В.",,,399
127,Интербригадисти,"Маринов,Н.",,,400
128,В планините на шкипетарите,"Иллейш,Б.",,,401
129,Малкият Пиер,"Франс,А.",,,402
130,Завръщане на синовете,"Волф,Ф.",,,407
131,Ние съветските хора,"Полевой,Б.",,,409
132,Борци за свободата,"Майн,Рид",,,410
133,Как се каляваше стоманата,"Островски,Н.",,,413
134,Време напред ,"Катаев,В.",,,430
135,Гости,"Овечкин,В.",,,431
136,Под Игото т.3,"Вазов,Ив.",,т.3,432
137,Детство,"Горки,М.",,,435
138,Борба за мир,"Панферов,Ф.",,,439
139,Борба за мир,"Панферов,Ф.",,,440
140,в кримска нелегалност,Козлов,,,441
141,пленникът ,"Мартинов,Иван",,,443
142,Господарят на мълниите,"Беляев,С.",,,446
143,Записки на ловеца,"Тургенев,И.",,,449
144,От все сърце,"Малцев,Е.",,,452
145,От все сърце,"Малцев,Е.",,,454
146,Ние съветските хора,"Полевой,Б.",,,455
147,Чайка,"Бирюков,Н.",,,456
148,В кримска нелегалност,"Козлов,И.",,,457
149,Сред хората,"Горки,М.",,,458
150,Време напред,"Катаев,В.",,,460
151,Тридесет и един ден,"Алексин,А.",,,462
152,Чест от младини,"Первенцев,А.",,,469
153,Чест от младини,"Первенцев,А.",,,470
154,Карпатска рапсодия,"Илейш,Б.",,,471
155,Борба за свобода,"Ефремов,И.",,,472
156,Септемврийци,"Коралов,Е.",,,476
157,Цимент,"Гладков,Ф.",,,478
158,Тарасбулба,"Гогол,Н.В.",,,479
159,Капитанската дъщеря,"Пушкин,А.С.",,,487
160,Песен над водите           ,"Василевска,В.",,,489
161,Към далечни брегове ,"Моратов,",,,490
162,Тарасбулба,"Гогол,Н.",,,492
163,село,"Шошин,М.",,,496
164,Кой в Русия?,"Некрасов,Н.",,,498
165,Какво видях в Америка?,"Белев,Г.",,,499
166,Слънце над река Санган,"Лин,Д.",,,504
167,Четвърта височина ,"Илина,Е.",,,506
168,Затъмнение в ,Пришли,,,512
169,В края на лятото,"Калчев,К.",,,513
170,"Лирика, т.1","Вазов,Ив.",,т.1,516
171,Тимур и неговата команда,"Гайдар,А.",,,520
172,Бай Ганьо,"Константинов,А.",,,528
173,Васил Левски,"Умджиев,И.",,,534
174,Васил Левски,"Умджиев,И.",,,535
175,Васил Левски,"Умджиев,И.",,,536
176,Слънчеви и  лунни затъмнения,"Михайлов,А.",,,542
177,Слънчеви и  лунни затъмнения,"Михайлов,А.",,,543
178,Земята в мировото пространство,"Лукев,Б.В.",,,547
179,На какво се крепи земята,"Огородников,К.Ф.",,,565
180,Родното в  служба на човека,"Малов,Н.",,,575
181,Произход на човека,"Гремяцки,М.А.",,,576
182,Чарлз Дарвин и неговото учение,"Турбин,Н.В.",,,677
183,Необикновени небесни явления,"Сергеев,Ив.",,,580
184,Без фросий и тип,"Горов,К.",,,588
185,Чудесата на света,"Мелнишки,Л.",,,590
186,Бразилска трагедия,"Гаум,В.",,,592
187,Планинските първенци,"Демирадев,И.",,,608
188,"Злобин,ет.","Разин,Стеиан",,,610
189,Чудесата на химията,"Донев,Д.",,,616
190,Господа Головльови,"Щедрин,С.",,,623
191,Далеч от дома,"Ажаев,",,,625
192,Ураган,Чжоу-Ли-бо-Д,,,626
193,Избрани статии и писма,"Гогол,Н.В.",,,627
194, В света на радиовълните,Чеснов,,,629
195,Мъртви  души т.5,Гогол.Н.В.,,т.5,631
196,Проблеми на развитието на ,"Зарев,П.",,,633
197,Избрани произведения,"Милев,Г.",,,637
198,Стихотвореия,"Смирненски,Хр.",,,656
199,Стихотвореия,"Смирненски,Хр.",,,657
200,Немили-недраги,"Вазов,Ив.",,,658
201,В  сянката на химията,,,,659
202,Стихотворения и поеми,"Лермонтов,М.Юр.",,,660
203,Песен на свободата,"Белев,Кр.",,,662
204,Евгений Онегин,"Пушкин,Ал.",,,664
205,Българи от старо време,"Каравелов,Л.",,,667
206,Български писатели,"Величков,К.",,,670
207,До Чикаго и назад,"Константинов,Ал.",,,672
208,"Статии, фейлетони и стиотворения","Ботев,Хр.",,,674
209,Христо Ботев,М.Димитров.,,,675
210,Петър първи,"Толстой,Ал.",,,679
211,Моите университети,"Горки,М.",,,681
212,На прав път,"Караславов,Г.",,,682
213,Събр. Съчинения т.2,"Горки,М.",,т.2,687
214,Дядо  Горио,О.Балзак,,,694
215,Петър първи т.2,"Толстой,Ал.",,т.2,696
216,Петър първи т.1,"Толстой,Ал.",,т.1,702
217,Петър първи т.1,"Толстой,Ал.",,т.1,703
218,Ръководство по  физкултурната  работа,,,,704
219,Разкази т.3,"Церковски,Ц.",,т.3,708
220,Разкази т.2,"Церковски,Ц.",,т.2,709
221,Кристиян Ванщафе т.1,Я.Васерман.,,т.1,710
222,Кристиян Ванщафе т.1,Я.Васерман.,,т.1,711
223,Червеният печат,К.И.Бенеш,,,721
224,Хляб,А.Толстой,,,722
225,Сръбски поети Антология,Сръбски поети Антология,,,723
226,Рафаело,Беране.,,,725
227,Пушкин  в Михайловское,Новиков.,,,726
228,Кому на Росии жить хорошо?,Н.А.Некрасов,,,736
229,Събрани съчинения т.2,Яварав,,т.2,737
230,Нови хора,"Белев,Г.",,,739
231,Партизански песни,"Андреев,В.",,,740
232,Полное собрание соч.,"Тургенева,",,,743
233,Осемнадесета година,А.Толстой,,,744
234,Хляб,А.Толстой,,,747
235,Записки на ловеца,"Тургенев,Ив.",,,748
236,Последният  удегеец,А.Фадеев.,,,749
237,Проф. д-р Асен Златаров В страната на Съветите,Проф. д-р Асен Златаров В страната на Съветите,,,750
238,Първи май . Сб.,Караманчев.,,,751
239,Тихият Дон,М.Шолохов.,,,753
240,Тихият Дон,М.Шолохов.,,,754
241,Тихият Дон,М.Шолохов.,,,755
242,Тихият Дон,М.Шолохов.,,,756
243,Кому на Росии жить хорошо?,Н.А.Некрасов,,,761
244,Думата на българина,Д.Осинин,,,763
245,Педагогическа поема,А.Макаренко,,,764
246,Детство,М.Горки,,,765
247,Навъсено утро,А.Толстой,,,766
248,Тунелът,Келерман,,,767
249,Дваедесет и четири часа,Л.Бромфилд,,,768
250,Съчинения т.8,М.Горки,,т.8,771
251,Съчинения т.7,М.Горки,,т.7,772
252,Съчинения т.3,М.Горки,,т.3,773
253,Съчинения т.1,М.Горки,,т.1,774
254,"Изкточен вятър, западен вятър",П.Бък,,,779
255,Возкресение,Л.Толстой,,,784
256,Смирненски Хумор и сатира,Хр.,,,785
257,Това се случи в Ленинград,А.Чановски.,,,790
258,Шопен или поетът,Порталесь,,,795
259,Сухата равнина,П.Вежинов,,,798
260,Избр.  Стихотворения,Н.Вапцаров.,,,799
261,Избр.  Стихотворения,Н.Вапцаров.,,,800
262,Какао и кръв,"Амаду,Ж.",,,805
263,Пробивът,Кр.Белев,,,806
264,Тихият Дон ч.1,М.Шолохов,,ч.1,807
265,Старовремски помешчици,Н.В.Гогол,,,809
266,Мъжество,В.Кетлинская,,,813
267,Мария Кюри,Е.Кюри,,,818
268,Карпатска рапсодия,Б.Илеш.,,,820
269,Червена звезда над Китай,Е.Сноу,,,822
270,Портрет,Н.Гогол,,,824
271,Хайдутин майка не храни,"Василев,О.",,,826
272,Горски пътник,Г.Раковски,,,827
273,Казаци,Л.Толстой,,,829
274,Снаха,Г.Караславов,,,830
275,Тарас  Булба,Н.В.Гогол,,,832
276,Кралска кръв,С.Луис,,,835
277,Съчинения т.3,Т.Влайков,,т.3,836
278,Хляб,А.Толстой,,,837
279,Първа смяна,К.Чапек,,,838
280,Под игото,Ив.Вазов,,,842
281,Под игото,Ив.Вазов,,,843
282,Бай Ганьо,А.Константинов,,,844
283,Гераците,Елин-Пелин,,,846
284,Диалектика на природата,"Енгелс,Фр.",,,847
285,Майка т.8,М.Горки,,т.8,849
286,Черти на съветския човек,Тихонов,,,852
287,Българи от старо време,"Каравелов,Л.",,,855
288, Господа Головьови,"Щедрин,С.",,,856
289,Родина,"Василевска,В.",,,857
290, Бай Ганьо,"Константинов,Ал.",,,861
291,Българи от старо време,"Каравелов,Л.",,,864
292,Майка,"Бък,П.",,,867
293,Моцерт на път за Прага,Молине,,,868
294,Работническо творчество,Работническо творчество,,,869
295,Събрани Съчинения т.1,"Вазов,Ив.",,т.1,878
296,Житие битие,"Василев,О.",,,879
297,Хлеб,"Толстой,Ал.",,,882
298,Септемврийски песни,"Зидаров,К.",,,890
299,Срещу  Огоста,"Осинин,Д.",,,895
300,Пътни бележки,"Райнов,Б.",,,896
301,Георги Димитров  ,Георги Димитров  ,,,897
302,До Чикаго и назад,"Константинов,Ал.",,,898
303,Край Марица,"Коралов,Е.",,,900
304,Немили-недраги,"Вазов,Ив.",,,905
305,Бълг.народни песни за Русия и съв. Съюз,Бълг.народни песни за Русия и съв. Съюз,,,910
306,Село Ведрово,"Гуляшки,Андр.",,,913
307,Селяни,Балзак,,,915
308, Летен ден,Елин-Пелин,,,921
309,Разстрел,"Захариев,К.",,,924
310,Хлябът на хората,"Спасов,П.",,,925
311,Избр. Разкази,"Стаматов,Г.",,,926
312,Криви пътеки,Челхаш,,,929
313,Сб. Пиеси,"Величков,М.",,,930
314,Кой в  Русия живее добре,Некрасов,,,931
315,Кой в  Русия живее добре,Некрасов,,,932
316,Кой в  Русия живее добре,Некрасов,,,934
317,Вечери в селцето край Диканка,"Гогол,Н.В.",,,935
318,Старовремски помешчици,"Гогол,Н.В.",,,937
319,Повести т.3,"Стоянов,Л.",,т.3,940
320,Дядо Горио,"Балзак,О.",,,943
321,Дядо Горио,"Балзак,О.",,,944
322,Избр. Съчинения,"Вазов,Ив.",,,945
323,Светлини,"Караваева,А.",,,946
324,Бразилска трагедия,"Баум,В.",,,947
325,Тихият Дон,"Шолохов,М.",,,948
326,Под игото,"Вазов,Ив.",,,949
327,Под игото,"Вазов,Ив.",,,952
328,Сухата равнина,"Вежинов,П.",,,955
329,Повеста за моя син,"Кошевая,Ел.",,,957
330,Славянски поети,"Стоянов,Л.",,,958
331,Чураеви,"Гребенщиков,Т.",,,965
332,Справедливост,"Реймонит,В.",,,972
333,Унижение и оскърбие,"Достоевски,Ф.",,,976
334,Тихият Дон,"Шолохов,М.",,,979
335, Енергия,"Гладков,",,,987
336,Как се каляваше стоманата,"Островски,Н.",,,988
337,Как се каляваше стоманата,"Островски,Н.",,,989
338,Как се каляваше стоманата,"Островски,Н.",,,990
339,Как се каляваше стоманата,"Островски,Н.",,,991
340,Как се каляваше стоманата,"Островски,Н.",,,992
341,Хляб,"Толстой,Ал.",,,993
342,Хляб,"Толстой,Ал.",,,994
343,Хляб,"Толстой,Ал.",,,995
344,Хляб,"Толстой,Ал.",,,996
345,Хляб,"Толстой,Ал.",,,997
346,Мъжество,"Кетлинская,В.",,,998
347,Мъжество,"Кетлинская,В.",,,999
348,Млада гвардия,"Фадеев,А.",,,1002
349,Разораната целина,"Шолохов,М.",,,1005
350,Разораната целина,"Шолохов,М.",,,1007
351,Тютюн,"Димов,Д.",,,1009
352,Победа над вълните,"Белев,Кр.",,,1015
353,Избр. Творби,"Белев,Кр.",,,1016
354,Физика.Учебник,"Арцибашев,С.",,,1018
355,Бълг. тълковен речник,"Андрейчин,Л.",,,1019
356,Бълг. притчи,"Славейков,П.Р.",,,1020
357,Неорганична химия,"Зилберг,И.",,,1021
358,Речник на съвр. Бълг. език,,,,1022
359,на България т.2,История,,т.2,1024
360,На живот и смърт,"Ангелов,Д.",,,1025
361,Ролята на примера,Болдирев,,,1037
362,Партизански песни,"Андреев,В.",,,1042
363,Партизански песни,"Андреев,В.",,,1043
364,Партизански песни,"Андреев,В.",,,1044
365,Партизански песни,"Андреев,В.",,,1045
366,Жанрово и  худ. майсторство,"Нонев,Б.",,,1046
367,Произход и строеж на Земята,Произход и строеж на Земята,,,1047
368,Той не умира.Бълг. писатели за ,Той не умира.Бълг. писатели за ,,,1053
369,Млад радиоконструктор,Млад радиоконструктор,,,1054
370, Зоология,"Козаров,Г.",,,1068
371,Животворната правда,"Тодоров,А.",,,1072
372,Избр. Произведения,"Славейков,Пенчо",,,1073
373,Евгений Онегин,"Пушкин,Ал.",,,1108
374,До  Чикаго и назад,"Константинов,Ал.",,,1109
375,Ездачът на белия кон,"Щорм,Т.",,,1111
376,Бай Ганьо,"Константинов,Ал.",,,1113
377,До Чикаго и назад,"Константинов,Ал.",,,1114
378,Лит. характеристика,"Николов,М.",,,1115
379,Переяславская рада,"Рибак,Н.",,,1118
380,17- годишните,"Болгар,Б.",,,1120
381,"Тайната на кораба""Пирин""","Стъпов,П.",,,1125
382,Изгубената родина,"Лацис,В.",,,1128
383,В степта,Зелегански,,,1131
384,Съвременна Индия,Дът.,,,1134
385,Съчинения т.4,"Гайдар,Ар.",,т.4,1137
386,Речни заливи,Ши-най-ан,,,1141
387,Речни заливи,Ши-най-ан,,,1142
388, битка,Ржезач,,,1146
389,Аристоник,Езьорски,,,1148
390,Белият пламък,"Собко,В.",,,1149
391,Сако и ванцети,,,,1150
392,Тайната на Юля-Арви,Богдаенов,,,1151
393,Селският лекар,"Балзак,О.",,,1154
394,Знатна фамилия,"Яворски,Н.",,,1157
395,Войниците от четирите реки,,,,1158
396,Приключенията на барон Мюнхаузен,Распе,,,1160
397,Път,"Даскалов,Ст.",,,1173
398,Давид  Коперфилд,"Дикенс,Ч.",,,1176
399,Бай Ганьо,"Константинов,Ал.",,,1177
400,Бай Ганьо,"Константинов,Ал.",,,1178
401,Съчинения.Иванко,"Друмев,В.",,,1185
402,Сб. По случай 100 год.,"Ботев,Хр.",,,1188
403,Бълг. възраждане,"Натан,Ж.",,,1189
404,Бълг. литература,"пенев,Б.",,,1190
405,От ума си тегли,Грибоедов,,,1194
406,Разкази,Чехов,,,1195
407,Кратък очерк по,"Донтев,Н.",,,1198
408,Събрани съчинения ,"Торки,М.",,,1199
409,Карпадска рапсодия,"Иллейш,Б.",,,1204
410,Разбраната целина,"Шолохов,М.",,,1208
411,Любен Каравелов,"Конайантиков,Т.",,,1213
412,Кристиян Варшатре,"Васерман,Я.",,,1215
413,Детство,"Горки,М.",,,1224
414,Бай Ганьо,"Константинов,А.",,,1228
415,Избрани произведения,"Смирненски,Х.",,,1229
416,Дъга,"Василевска,В.",,,1230
417,Детство,"Горки,М.",,,1232
418,Маминото детенце,"Каравелов,Л.",,,1233
419,Спартак,"Джованьоли,Т.",,,1235
420,Сърцето на Байрон,"Мороа,А.",,,1236
421,Марксиският диалектически метод,"Розентал,М.",,,1237
422,Селяни,"Балзак,О.",,,1246
423,Дядо Петко Славейков,"Константинов,К.",,,1254
424,възкресение ,Толстой,,,1255
425,Сам,"Бърд,Р.",,,1257
426,Срещи,"Цвайг,С.",,,1259
427,Улица във Флоренция,"Моам,С.",,,1261
428,Кой в Русия?,"Некрасов,Н.",,,1267
429,с кого пътника,"Предвесник,Гор",,,1269
430,Ася,"Тургенев,Ив.",,,1271
431,Крайцерова соната,"Толетой,Л.",,,1274
432,Адриана Будевска,Адриана Будевска,,,1276
433,Интербригадисти,"Маринов,Н.",,,1278
434,Разораната целина,"Шолохов,М.",,,1280
435,под манастирската лоза,"Елин,Пелин",,,1283
436,Не съм от тях,"Чудомир,",,,1284
437,Шатобриан,"Мороа,А.",,,1285
438,Огледалата на Вълтава,"Христов,К.",,,1288
439,Съвестки писатели,"Янакиев,Д.",,,1289
440,Съветски разкази,Съветски разкази,,,1291
441,Ние съветските хора,"Полевой,Б.",,,1293
442,Снаха,"Караславов,",,,1300
443, Пролет на Одер,"Казанкевич,Ем.",,,1303
444, Митко Палаузов,"Марчевски,М.",,,1306
445,Старата къща,"Талев,Д.",,,1308
446,Как се каляваше стоманата,"Островски,Н.",,,1309
447,Мъртви души,"Гогол,Н.В.",,,1314
448,Априлското възстание,"Стоянов,З.",,,1316
449,Априлското възстание,"Стоянов,З.",,,1317
450,Предна стража,"Прус,Б.",,,1320
451,Бълг. възраждане,"Натан,Ж.",,,1322
452,Стихотворения и поеми,"Лермонтов,М.Юр.",,,1323
453,Вечери в Антимовски хан,"Йовков,Й.",,,1325
454,Из преживяното,"Влайков,Т.",,,1326
455,Драва тече през Славянски...,"Мартинов,И.",,,1327
456,Борба за мир,"Панфилов,",,,1328
457,Борба за мир,"Панфилов,",,,1329
458,Шагреновата кожа,"Балзак,О.",,,1330
459,Петър Първи,"Толстой,А.",,,1332
460,Финансист,"Драйзер,Т.",,,1337
461,Песен за Буревестмика,"Горки,М.",,,1340
462,Бълг. литература,"Пенев,Б.",,,1344
463,Славянобългарска история,"Хилендарски,П.",,,1348
464,Паисий Хилендарски,"Пенев,Б.",,,1349
465,Хляб,"Толстой,А.",,,1350
466,Диалектика на природата,"Енгелс,Фр.",,,1353
467,Избрани стихотворения,"Тихонов,Н.",,,1355
468,До Чикаго,"Константин,А.",,,1357
469,Детство,"Горки,М.",,,1361
470,Малка литературна енциклопедия,"Марчевски,М.",,,1367
471,Дим над Биркинал,Шмалевска.С.,,,1370
472,"Грач,Птица пролетна","Мстиславски,С.",,,1371
473,Събрани съчинения,"Вазов,Ив.",,,1377
474,Унижение и оскърбие,"Достоевски,Ф.",,,1380
475,Събрани съчинения Том 5,"Вазов,Ив.",,,1381
476,Събрани съчинения Том 1,"Вазов,Ив.",,,1382
477,Стихотворения,"Смирненски,Х.",,,1385
478,Съчинения Том 6,"Вазов,Ив.",,,1388
479,Ако можеха да говорят,"Йовков,Й.",,,1390
480,Ако можеха да говорят,"Йовков,Й.",,,1391
481,Ако можеха да говорят,"Йовков,Й.",,,1392
482,Идилий,"Тодоров,П.",,,1396
483,Благословена земя,"Бък,П.",,,1401
484,Сръбски поети Антология,,,,1402
485,Предна стража,"Прус,Б.",,,1403
486,Жозеф Фуше,"Цвайг,С.",,,1406
487,В навечерието,"Тургенев,",,,1407
488,жито расте по синурите,"Брезан,Ю.",,,1410
489,Събрани съчинения ,"Яворов,П.К.",,,1411
490,Ана Каренина,"Толстой,Л.",,,1414
491,Малка литературна енциклопедия,"Марчевски,М.",,,1416
492,Повести,"Пелин,Ел.",,,1417
493,в антимовския хан,"Йовков,Й.Вечери",,,1419
494,Нови хора,"Велев,Г.",,,1421
495,Жетварят,"Йовков,Й.",,,1425
496,Вечери в антимовския хан,"Йовков,Й.",,,1427
497,Вечери в антимовския хан,"Йовков,Й.",,,1428
498,На повратки в село,"Марангозов,Н.",,,1437
499,Бедни хора,"Достоевски,Ф.",,,1439
500,Идиот,"Достоевски,Ф.",,,1440
501,Лято,"Горки,М.",,,1441
502,От все сърце,"Малцев,Е.",,,1447
503,Село Борово,"Велков,К",,,1448
504,Как се каляваше стоманата,"Островски,Н.",,,1449
505,Съчинения. Иванко,"Друмев,В.",,,1452
506,Българи от старо време,"Каравелов,Л.",,,1455
507,Вечери в антимовския хан,"Йовков,Й.",,,1456
508,Вечери в антимовския хан,"Йовков,Й.",,,1457
509,Вечери в антимовския хан,"Йовков,Й.",,,1458
510,Вечери в антимовския хан,"Йовков,Й.",,,1459
511,Жетварът,"Йовков,Й.",,,1460
512,Жетварът,"Йовков,Й.",,,1461
513,Жетварът,"Йовков,Й.",,,1462
514,Жетварът,"Йовков,Й.",,,1463
515,Жетварът,"Йовков,Й.",,,1464
516,Горски пътник оказалец,РаковскиГ.С.,,,1465
517,Маминото детенце,"Каравелов,Л.",,,1469
518,Маминото детенце,"Каравелов,Л.",,,1470
519,Под манастирската лоза,Елин-Пелин,,,1474
520,Летен ден,Елин-Пелин,,,1476
521,Чичовци,"Вазов,Ив.",,,1478
522,Чичовци,"Вазов,Ив.",,,1479
523,Чичовци,"Вазов,Ив.",,,1480
524,Чичовци,"Вазов,Ив.",,,1481
525,Чичовци,"Вазов,Ив.",,,1482
526,Бълг. литература,"Славейков,П.",,,1485
527,Кървава песен,"Славейков,П.",,,1487
528,Чудесно завръщане,"Кортик,Ст.",,,1495
529,Избр. Творения,Софроний Враченски,,,1511
530,Избр. Творения,Софроний Враченски,,,1512
531,Избр. Творения,Софроний Враченски,,,1513
532,Избр. Творения,Софроний Враченски,,,1514
533,Избр. Творения,Софроний Враченски,,,1515
534,Крива ли е съдбата,"Каравелов,Л.",,,1516
535,Избрани разкази т. 3,"Георгиев,М.",,,1521
536, Щъркови гнезда,Елин-Пелин,,,1522
537, Щъркови гнезда,Елин-Пелин,,,1523
538, Щъркови гнезда,Елин-Пелин,,,1524
539,Бай Ганьо,"Константинов,Ал.",,,1525
540,Маминото детенце,"Каравелов,Л.",,,1530
541,Маминото детенце,"Каравелов,Л.",,,1531
542,Войвода,"Каравелов,Л.",,,1532
543,Войвода,"Каравелов,Л.",,,1534
544,Войвода,"Каравелов,Л.",,,1535
545,Моето пътуване  по Стара,"Хитов,П.",,,1551
546,Книга  за бълг. народ,"Михайловски,Ст.",,,1557
547,До Чикаго и назад,"Константинов,Ал.",,,1558
548,Книга  за бълг. народ,"Михайловски,Ст.",,,1560
549,Книга  за бълг. народ,"Михайловски,Ст.",,,1561
550,Книга  за бълг. народ,"Михайловски,Ст.",,,1562
551,Кървави години,"Велинов,Б.",,,1563
552,Чичовци,"Вазов,Ив.",,,1564
553,Лионският клуб,Дюамел,,,1567
554,Мария Стюарт,"Цвайг,С.",,,1575
555,Райна княгиня,"Войников,Д.",,,1591
556,Подпалвачи,"Шпанов,Н.",,,1602
557,Бай Ганьо,"Константинов,А.",,,1604
558,Пет момичета,"Каменова,А.",,,1606
559,Бащи и деца,"Тургенев,И.С.",,,1608
560,Партизански песни,"Андреев,В.",,,1609
561,Сърцата се привличат,,,,1613
562,Теория на литературата,Тимофеев,,,1619
563,Българи от старо време,"Каравелов,Л.",,,1626
564,Българи от старо време,"Каравелов,Л.",,,1627
565,Българи от старо време,"Каравелов,Л.",,,1628
566,Българи от старо време,"Каравелов,Л.",,,1629
567,Маминото детенце,"Каравелов,Л.",,,1630
568,Вилхем Тел,"Шилер,Ф.",,,1633
569,Вилхем Тел,"Шилер,Ф.",,,1634
570,Вилхем Тел,"Шилер,Ф.",,,1635
571,Вилхем Тел,"Шилер,Ф.",,,1636
572,Вилхем Тел,"Шилер,Ф.",,,1637
