пореден номер,заглавие,автор,година,том/част,инвентарен номер
2817,Естетическите проблеми в ...,"Василев,Ст.",,,10942
2818,Насекоми срещу ,"Божков,Д.",,,10944
2819,Форми и багри,"Драганов,Ст.",,,10945
2820,Живътът в нашите реки,"Русев,Б.",,,10946
2821,Великани и джуджета в света на числата,"Литцман,Б.",,,10953
2822,Химични  регулатори в ...,ГеоргиевД.,,,10955
2823,Стражи на времето,"Шишаков,В.",,,10957
2824,Риби пътешественици,Коларов,,,10959
2825,Вулкани,"Тилев,Хр.",,,10962
2826,Стражи на времето,"Шишаков,В.",,,10964
2827,Вулкани,"Тилев,Хр.",,,10965
2828,Форми и багри ,Драганов,,,10967
2829,Форми и багри ,Драганов,,,10968
2830,Форми и багри ,Драганов,,,10969
2831,Живътът в нашите реки,"Русев,Б.",,,10971
2832,Форми и багри ,Драганов,,,10972
2833,Форми и багри ,Драганов,,,10973
2834,Великани и джуджета в света на числата,"Литцман,Б.",,,10976
2835,Гимнастически упр...,"Винчева,С.",,,10981
2836,Ултразвукова...,"Балазовски,М.",,,10986
2837,Американска лит...,"Шаренков,В.",,,10987
2838,Механика и...,"Знаменски,И.",,,10988
2839,Бълг. нар. Творчество т.2,,,т.2,10989
2840,Бълг. нар. Творчество т.1,,,т.1,10990
2841,Кратък  немско-бълг. речник,,,,10991
2842,Българско-руски речник,,,,10992
2843,портретът на Паисий,"Топенчаров,В.",1961,,10995
2844,портретът на Паисий,"Топенчаров,В.",1961,,10996
2845,Зимният вятър,"Катаев,В.",,,11000
2846,Четвъртото измерение,"Божилов,В.",,,11002
2847,Видни бълг.художници,,,,11006
2848,Занимателна астрономия,"Перелман,Я.",,,11007
2849,Занимателна астрономия,"Перелман,Я.",,,11008
2850,Занимателна астрономия,"Перелман,Я.",,,11010
2851,Избрани съчинения,"Славейков,П.",,,11011
2852,Избрани съчинения,"Славейков,П.",,,11012
2853,Мусоргски,"Чорни,О.",,,11016
2854,Знамените задачи от древността,,,,11017
2855,Известия на института...,,,,11019
2856,Ледената книга,"Смуул,Ю.",,,11022
2857,портретът на Паисий,"Топенчаров,В.",,,11023
2858,портретът на Паисий,"Топенчаров,В.",,,11024
2859,Епопея на забравените,"Вазов,Ив",,,11025
2860,Епопея на забравените,"Вазов,Ив.",,,11026
2861,Земноводни,"Христов,Л.",,,11029
2862,Рожддение,"Михайлов,А.",,,11030
2863,Епопея на забравените,"Вазов,Ив.",,,11033
2864,Епопея на забравените,"Вазов,Ив.",,,11034
